Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,Region,State,City,Postal_Code,Product_ID,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit
1,US-2023-100001,2023-01-01,2023-01-01,Same Day,CUST-00039,Elizabeth Fowler,Corporate,United States,East,Pennsylvania,Pittsburgh,15222,P-0045,Technology,Machines,Label Maker,3,44.99,0.0,134.97,53.13
2,US-2023-100001,2023-01-01,2023-01-01,Same Day,CUST-00039,Elizabeth Fowler,Corporate,United States,East,Pennsylvania,Pittsburgh,15222,P-0004,Furniture,Chairs,Folding Guest Chair,3,74.99,0.15,191.22,59.65
3,US-2023-100002,2023-01-01,2023-01-02,First Class,CUST-00089,Lisa Archer,Corporate,United States,West,California,San Diego,92101,P-0016,Office Supplies,Binders,3-Ring View Binder 2in,1,12.99,0.1,11.69,4.78
4,US-2023-100002,2023-01-01,2023-01-02,First Class,CUST-00089,Lisa Archer,Corporate,United States,West,California,San Diego,92101,P-0026,Office Supplies,Art,Highlighter Pack (6pk),4,5.99,0.0,23.96,11.59
5,US-2023-100002,2023-01-01,2023-01-02,First Class,CUST-00089,Lisa Archer,Corporate,United States,West,California,San Diego,92101,P-0007,Furniture,Tables,Laminate Office Desk,2,219.99,0.1,395.98,81.4
6,US-2023-100003,2023-01-01,2023-01-06,Standard Class,CUST-00338,Charles Lester,Consumer,United States,Central,Missouri,St. Louis,63101,P-0004,Furniture,Chairs,Folding Guest Chair,4,74.99,0.3,209.97,38.72
7,US-2023-100004,2023-01-01,2023-01-02,First Class,CUST-00097,Aaron Wise,Home Office,United States,Central,Texas,Dallas,75201,P-0034,Office Supplies,Supplies,Tape Dispenser,2,6.99,0.1,12.58,5.22
8,US-2023-100004,2023-01-01,2023-01-02,First Class,CUST-00097,Aaron Wise,Home Office,United States,Central,Texas,Dallas,75201,P-0032,Office Supplies,Supplies,Stapler - Heavy Duty,8,14.99,0.1,107.93,33.4
9,US-2023-100005,2023-01-02,2023-01-07,Standard Class,CUST-00353,Kerry Chavez DDS,Consumer,United States,Central,Missouri,Kansas City,64105,P-0046,Technology,Accessories,Wireless Mouse,2,24.99,0.0,49.98,19.23
10,US-2023-100006,2023-01-03,2023-01-07,Second Class,CUST-00015,Dylan Miller,Corporate,United States,Central,Missouri,Kansas City,64105,P-0028,Office Supplies,Labels,Address Label Sheets (100ct),4,10.99,0.0,43.96,20.78
